id,zip_code,created_at,is_active,latitude,longitude
78,78026,2025-03-03 14:04:24,1,28.903,-98.544
79,78064,2025-03-03 14:04:24,1,28.9924,-98.4831
80,78201,2025-03-03 14:04:24,1,29.4711,-98.5356
81,78249,2025-03-03 14:04:24,1,29.5612,-98.6117
82,78112,2025-03-03 14:04:24,1,29.2308,-98.372
83,78624,2025-03-03 14:04:24,1,30.2817,-98.8799
84,78056,2025-03-03 14:04:24,1,29.591,-98.8821
85,78739,2025-03-03 14:04:24,1,30.172,-97.8784
86,78229,2025-03-03 14:04:24,1,29.5042,-98.5697
87,78239,2025-03-03 14:04:24,1,29.5182,-98.3627
88,78232,2025-03-03 14:04:24,1,29.5863,-98.4769
89,78256,2025-03-03 14:04:24,1,29.6169,-98.6252
90,78257,2025-03-03 14:04:24,1,29.6495,-98.6137
91,78227,2025-03-03 14:04:24,1,29.4027,-98.6433
92,78247,2025-03-03 14:04:24,1,29.5855,-98.4071
93,78738,2025-03-03 14:04:24,1,30.3337,-97.9824
94,78734,2025-03-03 14:04:24,1,30.3705,-97.9427
95,78732,2025-03-03 14:04:24,1,30.3752,-97.9007
96,78228,2025-03-03 14:04:24,1,29.4589,-98.5699
97,78250,2025-03-03 14:04:24,1,29.5054,-98.6688
98,78114,2025-03-03 14:04:24,1,29.1693,-98.1936
99,78161,2025-03-03 14:04:24,1,29.2888,-98.0509
100,78073,2025-03-03 14:04:24,1,29.275,-98.6677
101,78861,2025-03-03 14:04:24,1,29.3986,-99.1762
102,78681,2025-03-03 14:04:24,1,30.5084,-97.7062
103,78248,2025-03-03 14:04:24,1,29.5894,-98.5201
104,78101,2025-03-03 14:04:24,1,29.3805,-98.265
105,78216,2025-03-03 14:04:24,1,29.5334,-98.4975
106,78750,2025-03-03 14:04:24,1,30.4224,-97.7967
107,78209,2025-03-03 14:04:24,1,29.4821,-98.4554
108,78028,2025-03-03 14:04:24,1,30.0416,-99.1408
109,78231,2025-03-03 14:04:24,1,29.5714,-98.5414
110,78208,2025-03-03 14:04:24,1,29.44,-98.459
111,78745,2025-03-03 14:04:24,1,30.2063,-97.7956
112,78052,2025-03-03 14:04:24,1,29.2366,-98.7945
113,78636,2025-03-03 14:04:24,1,30.2948,-98.3691
114,78016,2025-03-03 14:04:24,1,29.1521,-98.909
115,78676,2025-03-03 14:04:24,1,30.0265,-98.1123
116,78238,2025-03-03 14:04:24,1,29.451,-98.6169
117,78213,2025-03-03 14:04:24,1,29.5234,-98.5273
118,78123,2025-03-03 14:04:24,1,29.6023,-98.0492
119,78226,2025-03-03 14:04:24,1,29.393,-98.5511
120,78220,2025-03-03 14:04:24,1,29.4106,-98.4128
121,78753,2025-03-03 14:04:24,1,30.3648,-97.6827
122,78203,2025-03-03 14:04:24,1,29.4148,-98.4601
123,78207,2025-03-03 14:04:24,1,29.4229,-98.526
124,78071,2025-03-03 14:04:24,1,28.4756,-98.1782
125,78701,2025-03-03 14:04:24,1,30.2713,-97.7426
126,78644,2025-03-03 14:04:24,1,29.8868,-97.6769
127,78642,2025-03-03 14:04:24,1,30.663,-97.9316
128,78704,2025-03-03 14:04:24,1,30.2428,-97.7658
129,78724,2025-03-03 14:04:24,1,30.296,-97.6396
130,78727,2025-03-03 14:04:24,1,30.4254,-97.7195
131,78654,2025-03-03 14:04:24,1,30.5723,-98.2073
132,78639,2025-03-03 14:04:24,1,30.6662,-98.4475
133,78736,2025-03-03 14:04:24,1,30.2444,-97.916
134,78641,2025-03-03 14:04:24,1,30.5835,-97.8575
135,78618,2025-03-03 14:04:24,1,30.4613,-99.1707
136,78705,2025-03-03 14:04:24,1,30.2896,-97.7396
137,78729,2025-03-03 14:04:24,1,30.4521,-97.7688
138,78722,2025-03-03 14:04:24,1,30.2893,-97.715
139,78002,2025-10-12 06:09:58,1,29.2705,-98.7421
140,78019,2025-10-12 06:13:11,1,28.0405,-99.3563
141,78065,2025-10-12 06:13:11,1,29.0994,-98.6241
142,78140,2025-10-12 06:13:11,1,29.3016,-97.7529
143,78612,2025-10-12 06:13:11,1,30.0966,-97.4976
144,78619,2025-10-12 06:13:11,1,30.1072,-98.0327
145,78623,2025-10-12 06:13:11,1,29.9627,-98.2088
146,78626,2025-10-12 06:13:11,1,30.633,-97.6707
147,78664,2025-10-12 06:13:11,1,30.5145,-97.668
148,78725,2025-10-12 06:13:11,1,30.2562,-97.6243
149,78735,2025-10-12 06:13:11,1,30.249,-97.8414
150,78746,2025-10-12 06:13:11,1,30.2971,-97.8181
151,78756,2025-10-12 06:13:11,1,30.3223,-97.739
152,78758,2025-10-12 06:13:11,1,30.3764,-97.7078
153,78759,2025-10-12 06:13:11,1,30.4036,-97.7526
154,78102,2025-10-12 06:13:11,1,28.4222,-97.7616
155,78160,2025-10-12 06:13:11,1,29.2319,-97.9351
156,78749,2025-10-12 06:13:11,1,30.2166,-97.8508
157,78754,2025-10-12 06:13:11,1,30.3423,-97.6673
158,78620,2025-10-12 06:18:44,1,30.2268,-98.1029
